Class,Solution treatment time (h),Solution treatment temperature (¡æ),Solution cooling way,Aging treatment time (h),Aging treatment temperature (¡æ),Aging cooling way,2nd aging treatment time (h),2nd aging treatment temperature (¡æ),2nd aging cooling way,C (mass%),Si (mass%),Ni (mass%),Mo (mass%),W (mass%),Al (mass%),N (mass%),Nb+Ta (mass%),B (mass%),V (mass%),Ti (mass%),Fe (mass%),Zr (mass%),Sn (mass%),Test temperature (¡æ),Test stress (MPa),Creep rupture life (h)
1,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,550,16.99999999
2,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,476,52.00000004
3,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,355,279.9999998
4,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,349,330.0000001
5,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,295,835
6,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,275,1059.999999
7,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,195,4770
8,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,625,400,31.50000002
9,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,625,300,169.9999999
10,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,625,277,319.9999998
11,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,625,248,544.9999997
12,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,625,173,2480.000001
13,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,325,31.50000002
14,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,298,64.5
15,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,252,100
16,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,223,197.9999999
17,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,177,640
18,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,150,1059.999999
19,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,135,2500.000002
20,1,1070,1,50,610,1,0,0,0,0.06,0.4,0,0.4,0,5.8,0,1.4,0,0,84.44,0,3.5,4,600,450,52.00000004
21,1,1070,1,50,610,1,0,0,0,0.06,0.4,0,0.4,0,5.8,0,1.4,0,0,84.44,0,3.5,4,600,360,277
22,1,1070,1,2,770,1,50,610,1,0.06,0.4,0,0.4,0,5.8,0,1.4,0,0,84.44,0,3.5,4,600,450,39.99999997
23,1,1070,1,2,770,1,50,610,1,0.06,0.4,0,0.4,0,5.8,0,1.4,0,0,84.44,0,3.5,4,600,360,188.9999999
24,1,1070,1,2,770,1,0,0,0,0.06,0.4,0,0.4,0,5.8,0,1.4,0,0,84.44,0,3.5,4,600,450,39
25,1,1070,1,2,770,1,0,0,0,0.06,0.4,0,0.4,0,5.8,0,1.4,0,0,84.44,0,3.5,4,600,360,150
26,0,0,0,0,0,0,0,0,0,0,0.25,0,0.8,1,6,0,1,0,0,82.95,0,4,4,650,150,281.0000001
27,0,0,0,0,0,0,0,0,0,0,0.25,0,0.8,1,6,0,1,0,0,82.95,0,4,4,650,200,64.19999999
28,0,0,0,0,0,0,0,0,0,0,0.25,0,0.8,1,6,0,1,0,0,82.95,0,4,4,650,250,23.49999999
29,0,0,0,0,0,0,0,0,0,0,0.25,0,0.8,1,6,0,1,0,0,82.95,0,4,4,675,200,15.2
30,0,0,0,0,0,0,0,0,0,0,0.25,0,0.8,1,6,0,1,0,0,82.95,0,4,4,625,200,251.7000003
31,2,1080,1,2,700,1,0,0,0,0.06,0.31,0.017,0.5,0,6.04,0.01,0.6,0,0,85.13,0.024,3.2,3.98,650,220,118.9999999
32,2,1055,1,2,700,1,0,0,0,0.06,0.31,0.017,0.5,0,6.04,0.01,0.6,0,0,85.13,0.024,3.2,3.98,650,220,47.99999996
33,2,1040,1,2,700,1,0,0,0,0.06,0.31,0.017,0.5,0,6.04,0.01,0.6,0,0,85.13,0.024,3.2,3.98,650,220,39.99999997
34,2,1000,1,2,700,1,0,0,0,0.06,0.31,0.017,0.5,0,6.04,0.01,0.6,0,0,85.13,0.024,3.2,3.98,650,220,31.99999998
35,2,960,1,2,700,1,0,0,0,0.06,0.31,0.017,0.5,0,6.04,0.01,0.6,0,0,85.13,0.024,3.2,3.98,650,220,26.99999999
36,2,1080,1,2,700,1,0,0,0,0.07,0.46,0.0065,0.51,0,5.97,0.002,0.73,0,0,85.19,0.015,3.5,3.42,650,220,220.0000001
37,2,1055,1,2,700,1,0,0,0,0.07,0.46,0.0065,0.51,0,5.97,0.002,0.73,0,0,85.19,0.015,3.5,3.42,650,220,64
38,2,1045,1,2,700,1,0,0,0,0.07,0.46,0.0065,0.51,0,5.97,0.002,0.73,0,0,85.19,0.015,3.5,3.42,650,220,55
39,2,1000,1,2,700,1,0,0,0,0.07,0.46,0.0065,0.51,0,5.97,0.002,0.73,0,0,85.19,0.015,3.5,3.42,650,220,33.00000001
40,2,970,1,2,700,1,0,0,0,0.07,0.46,0.0065,0.51,0,5.97,0.002,0.73,0,0,85.19,0.015,3.5,3.42,650,220,21.00000001
41,2,1065,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,269
42,2,1040,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,117.0000001
43,2,1025,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,102.0000001
44,2,1000,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,71
45,2,970,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,33.00000001
46,1,950,3,24,600,1,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,125,22.06999999
47,1,950,3,24,600,1,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,250,1.229999999
48,1,950,3,24,600,1,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,319,0.25
49,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,125,14.00000001
50,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,250,0.619999999
51,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,319,0.17
52,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0,4,89.48,0.2,0,0,475,300,148.3300001
53,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0,4,89.48,0.2,0,0,500,300,46.67000001
54,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0,4,89.48,0.2,0,0,550,300,28.61000001
55,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.06,4,89.42,0.2,0,0,475,300,750
56,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.06,4,89.42,0.2,0,0,500,300,154.7200001
57,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.06,4,89.42,0.2,0,0,550,300,6.890000001
58,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.11,4,88.92,0.2,0,0,475,300,4722.219997
59,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.11,4,88.92,0.2,0,0,500,300,185.28
