Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Target
0.020000517,1046.3901,1.3206724,0.20681918,607.54236,0.9973127,0.09781867,4.6320243,0.009840131,0.061070174,0.36892062,0.6990794,0.5142197,0.012652189,5.855791,0.00013262779,0.7998213,0.0010465765,0.0057225414,83.78908,0.016099088,3.392541,4.01344,598.2398,428.95526,454.71518
0.03299254,1038.3616,1.3665266,0.28731972,616.4444,0.99404633,0.2431944,10.323164,0.013587892,0.056957208,0.35371548,0.69838583,0.513005,0.01566869,5.8864074,0.0003458038,0.7785022,0.0020179858,0.033423807,83.81453,0.018605879,3.3545895,4.0046196,602.909,402.2092,461.2937
0.007816017,0.2297473,0.010076612,3.718923,0.8963406,0.00025719404,5.5017767,12.892461,0.004718691,0.033933707,0.00086620747,3.963709e-07,0.0024062395,0.014406711,5.897399,0.012829417,0.0038035333,0.001351533,4.1953197,89.57695,0.0766106,0.0019084215,0.00032419324,600.8209,124.66901,2.248452
0.6888006,1047.7976,1.3558632,0.17615557,642.692,0.9978728,0.03863126,3.5675468,0.006197691,0.06625184,0.3777012,0.4010205,0.5161625,0.010680795,5.8556294,0.00012177378,0.8462212,0.0009491205,0.002543968,83.828285,0.012129149,3.4193635,4.015504,587.12335,456.41437,206.13223
1.4860169,1007.5075,1.5699759,0.6277129,649.4572,0.98369396,0.56035966,25.040274,0.034710646,0.053591914,0.33427233,0.0791575,0.5018004,0.016838431,5.9456162,0.0030819953,0.83928406,0.0048549785,0.23470701,84.096245,0.015267078,3.2791138,3.900039,602.9992,372.2691,265.00754
0.0057045817,0.62486887,0.019167691,5.9021754,2.466589,0.0007326901,6.0979886,19.885792,0.013159782,0.04742797,0.0011668062,5.2154064e-07,0.0043952465,0.016834497,5.89115,0.019290483,0.008648271,0.0020732377,4.207886,89.57146,0.072970636,0.0034796,0.0010143918,607.1812,132.74438,3.1653855
0.0044022202,0.40880084,0.018185735,5.36322,1.9208906,0.00045612454,5.706783,18.654917,0.013840079,0.048317425,0.0009521908,2.9206277e-07,0.0037884235,0.017690033,5.899681,0.018485297,0.006956601,0.0018964937,4.2128344,89.596146,0.0761757,0.002622366,0.0008076078,606.61786,131.07202,2.7743194
0.0036234856,0.19807577,0.00923878,4.8989935,0.9533429,0.00016835332,5.572617,14.697895,0.0070534647,0.03855378,0.00068339705,2.503395e-07,0.0020386935,0.013335586,5.896234,0.013930383,0.0039977552,0.0014131543,4.2110715,89.595085,0.07445245,0.0015007257,0.00029472113,608.00684,125.49114,1.4104033
0.0038890839,1026.8748,1.3616693,0.3819123,634.82275,0.9896617,0.91712475,10.611399,0.021816462,0.05394464,0.33563182,0.6999516,0.48800954,0.023296982,5.9071,0.00084214064,0.7458298,0.0045024706,0.107442304,83.77692,0.021280836,3.4640598,3.9844878,604.16595,370.12836,624.6646
1.8203998,1027.9741,1.4545318,0.3425032,665.6775,0.9922726,0.12985021,10.593927,0.015734732,0.058473714,0.34240562,0.010519412,0.5169774,0.0092408955,5.9002123,0.0010520623,0.8479241,0.0022934151,0.042773455,84.03432,0.010841098,3.3687916,3.9826357,596.8571,408.6134,154.32127
0.047157586,996.4509,1.5417019,0.737527,609.5787,0.97818637,1.7018154,29.337452,0.045520455,0.050501816,0.33793008,0.69851726,0.49709195,0.032870114,5.9387264,0.0024642095,0.790707,0.0070059467,0.4068619,84.00769,0.03317426,3.297885,3.9110563,604.45374,366.15338,589.7766
0.0101085305,1062.8369,1.1440134,0.04762858,565.6128,0.9996458,0.006480515,0.698435,0.0026556551,0.071765795,0.41462398,0.69946945,0.48336703,0.0061864257,5.800902,5.8189034e-06,0.8148885,0.00019806236,5.836755e-05,83.48354,0.011096794,3.4899378,4.0196238,580.9393,496.32855,395.82718
1.9982989,1053.2869,1.4646124,0.097203255,700.44635,0.99933237,0.007995963,1.7004663,0.0045030117,0.07037345,0.36571014,3.233552e-06,0.56562376,0.004357636,5.833625,0.00039686114,0.93041164,0.0006059921,0.001094108,83.89208,0.0041535436,3.5817385,4.0163207,588.4461,463.17142,34.827404
1.9950593,1032.3252,1.6121323,0.27621686,695.20526,0.9960499,0.06940961,7.7845173,0.017522275,0.06179892,0.3380522,1.9025803e-05,0.53976715,0.007263422,5.8845434,0.0024958192,0.8849772,0.0018757588,0.045805037,84.03191,0.005825441,3.4795637,3.989983,603.59796,401.41882,66.257996
0.00039577484,1063.4126,1.0545394,0.07317066,582.9904,0.9994655,0.022692978,1.2601426,0.004098177,0.06699416,0.38687727,0.6999937,0.4962701,0.006968558,5.8110943,1.6456843e-05,0.75723445,0.00027855337,0.00044601382,83.43336,0.010020833,3.5709019,4.019166,586.18134,441.50137,583.8635
0.18003505,1001.9325,1.5012212,0.5331889,622.05646,0.98135877,0.7236585,22.275839,0.026956767,0.052625638,0.3461641,0.68560296,0.48319644,0.021715224,5.932582,0.0013492688,0.78933334,0.0050920583,0.16555256,83.94379,0.02250485,3.2502298,3.9406574,607.48413,387.5567,409.71762
0.06779528,1035.4481,1.3249229,0.30536652,612.8237,0.9940096,0.19270182,9.279556,0.011982501,0.058271848,0.35653234,0.6949769,0.50896096,0.014130831,5.8734922,0.00031388254,0.7785839,0.0017501164,0.01959637,83.89197,0.0149481855,3.3557506,4.0053835,599.7212,408.1116,399.0232
