Class,Solution treatment time (h),Solution treatment temperature (¡æ),Solution cooling way,Aging treatment time (h),Aging treatment temperature (¡æ),Aging cooling way,2nd aging treatment time (h),2nd aging treatment temperature (¡æ),2nd aging cooling way,C (mass%),Si (mass%),Ni (mass%),Mo (mass%),W (mass%),Al (mass%),N (mass%),Nb+Ta (mass%),B (mass%),V (mass%),Ti (mass%),Fe (mass%),Zr (mass%),Sn (mass%),Test temperature (¡æ),Test stress (MPa),Creep rupture life (h),Truth,Prediction
1,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,550,16.99999999,1.230448921,1.1043674
2,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,476,52.00000004,1.716003344,1.6308062
3,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,355,279.9999998,2.447158031,2.439409
4,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,349,330.0000001,2.51851394,2.4788444
5,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,295,835,2.921686475,2.8378193
6,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,275,1059.999999,3.025305865,2.9555569
7,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,600,195,4770,3.678518379,3.6691024
8,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,625,400,31.50000002,1.498310554,1.4863553
9,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,625,300,169.9999999,2.230448921,2.2322564
10,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,625,277,319.9999998,2.505149978,2.3867476
11,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,625,248,544.9999997,2.736396502,2.581539
12,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,625,173,2480.000001,3.394451681,3.415398
13,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,325,31.50000002,1.498310554,1.4325396
14,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,298,64.5,1.809559715,1.6196287
15,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,252,100,2,1.9133636
16,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,223,197.9999999,2.29666519,2.2886324
17,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,177,640,2.806179974,2.8212073
18,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,150,1059.999999,3.025305865,3.038675
19,0,1019.85,1,0,699.85,1,0,0,0,0.06,0.35,0.7,0.5,0,5.8,0,0.7,0,0,84.39,0,3.5,4,650,135,2500.000002,3.397940009,3.1604474
20,1,1070,1,50,610,1,0,0,0,0.06,0.4,0,0.4,0,5.8,0,1.4,0,0,84.44,0,3.5,4,600,450,52.00000004,1.716003344,1.817873
21,1,1070,1,50,610,1,0,0,0,0.06,0.4,0,0.4,0,5.8,0,1.4,0,0,84.44,0,3.5,4,600,360,277,2.442479769,2.447633
22,1,1070,1,2,770,1,50,610,1,0.06,0.4,0,0.4,0,5.8,0,1.4,0,0,84.44,0,3.5,4,600,450,39.99999997,1.602059991,1.6189322
23,1,1070,1,2,770,1,50,610,1,0.06,0.4,0,0.4,0,5.8,0,1.4,0,0,84.44,0,3.5,4,600,360,188.9999999,2.276461804,2.2441137
24,1,1070,1,2,770,1,0,0,0,0.06,0.4,0,0.4,0,5.8,0,1.4,0,0,84.44,0,3.5,4,600,450,39,1.591064607,1.5890404
25,1,1070,1,2,770,1,0,0,0,0.06,0.4,0,0.4,0,5.8,0,1.4,0,0,84.44,0,3.5,4,600,360,150,2.176091259,2.1887848
